"Player","Pos","Age","Tm","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","YEAR"
"Bradley Beal","SG","27","WAS","59","59","35.8","11.2","23","0.489","2.2","6.1","0.351","9.1","16.8","0.539","0.535","6.8","7.7","0.889","1.2","3.5","4.7","4.4","1.2","0.4","3.1","2.3","31.4","21"
"Devin Booker","SG","24","PHO","64","64","33.9","9.3","19.2","0.485","1.9","5.5","0.34","7.5","13.8","0.543","0.533","5","5.8","0.863","0.5","3.7","4.2","4.4","0.8","0.3","3.1","2.8","25.5","21"
"Anthony Davis","PF","27","LAL","33","33","31.9","8.5","17","0.498","0.8","2.8","0.272","7.7","14.2","0.543","0.521","4.3","5.8","0.731","1.8","6.2","8","3","1.2","1.8","2.1","1.7","21.9","21"
"DeMar DeRozan","PF","31","SAS","57","57","33.9","7.4","15","0.489","0.3","1.3","0.247","7","13.8","0.511","0.499","6.4","7.2","0.886","0.7","3.6","4.3","7.1","0.9","0.3","1.9","2.1","21.4","21"
"Luka Doncic","PG","21","DAL","62","62","34.7","10","20.6","0.483","2.9","8.3","0.354","7","12.3","0.57","0.554","5.3","7.3","0.723","0.8","7.2","8","8.7","1","0.6","4.3","2.3","28.2","21"
"Goran Dragic","PG","34","MIA","47","11","26.8","4.7","11","0.432","1.7","4.7","0.36","3","6.3","0.486","0.51","2.1","2.5","0.822","0.5","3","3.5","4.5","0.7","0.2","2.3","2.3","13.3","21"
"Paul George","SF","30","LAC","52","52","33.7","8.3","17.7","0.471","3.2","7.6","0.416","5.2","10.1","0.512","0.56","3.7","4.3","0.873","0.8","5.8","6.6","5.2","1.2","0.4","3.3","2.5","23.5","21"
"James Harden","PG-SG","31","HOU","42","42","37.1","8","17.2","0.463","2.8","7.8","0.358","5.2","9.4","0.549","0.544","6.5","7.5","0.87","0.8","7.2","8","10.9","1.2","0.7","4.1","2.3","25.2","21"
"Montrezl Harrell","C","27","LAL","66","1","23.2","5.5","8.8","0.624","0","0.2","0","5.5","8.6","0.635","0.624","2.7","3.8","0.705","2.3","4","6.3","1.1","0.7","0.7","1.1","1.9","13.7","21"
"Buddy Hield","SG","28","SAC","67","67","34.4","5.7","14","0.405","4","10.2","0.393","1.7","3.8","0.437","0.548","1.3","1.5","0.851","0.4","4.4","4.7","3.4","0.9","0.4","1.8","2.5","16.6","21"
"Jrue Holiday","PG","30","MIL","55","52","32.3","7","13.9","0.503","1.9","4.8","0.398","5.1","9","0.559","0.573","1.8","2.3","0.776","1.2","3.4","4.6","5.9","1.7","0.6","2.2","1.7","17.7","21"
"LeBron James","PG","36","LAL","43","43","33.7","9.3","18.1","0.513","2.3","6.4","0.366","7","11.7","0.594","0.578","4.1","5.8","0.701","0.6","7.3","7.9","7.8","1","0.6","3.8","1.6","25","21"
"Kelly Oubre Jr.","SF","25","GSW","55","50","30.7","5.8","13.2","0.439","1.6","5.2","0.316","4.1","8","0.519","0.501","2.2","3.2","0.695","1.5","4.5","6","1.3","1","0.8","1.3","2.2","15.4","21"
"Julius Randle","PF","26","NYK","67","67","37.2","8.5","18.4","0.46","2.2","5.4","0.413","6.2","13","0.48","0.521","4.8","5.9","0.808","1.2","9","10.3","5.9","0.9","0.3","3.4","3.2","23.9","21"
"Duncan Robinson","SF","26","MIA","68","68","31.6","4.4","10","0.44","3.5","8.5","0.408","0.9","1.5","0.626","0.614","0.8","1","0.826","0.1","3.5","3.6","1.8","0.6","0.2","1.1","2.5","13.1","21"
"Derrick Rose","PG","32","NYK","47","3","25.4","5.7","12.1","0.469","1","2.6","0.39","4.7","9.5","0.491","0.511","2.1","2.5","0.856","0.3","2.2","2.5","4.2","1","0.4","1.5","1.1","14.6","21"
"D'Angelo Russell","PG","24","MIN","38","22","28.2","6.8","15.6","0.437","2.9","7.3","0.398","3.9","8.3","0.471","0.53","2.7","3.4","0.777","0.4","2.2","2.6","5.7","1","0.4","2.7","1.7","19.2","21"
"Dennis Schroder","SG","27","LAL","59","59","32.2","5.5","12.5","0.438","1.1","3.4","0.335","4.4","9.2","0.476","0.483","3.4","4","0.844","0.5","3","3.5","5.8","1.2","0.2","2.7","2.6","15.5","21"
"Pascal Siakam","PF","26","TOR","56","56","35.8","7.8","17.2","0.455","1.3","4.4","0.297","6.5","12.8","0.509","0.493","4.4","5.4","0.827","1.7","5.5","7.2","4.5","1.1","0.7","2.3","3.1","21.4","21"
"Jayson Tatum","SF","22","BOS","61","61","35.9","9.4","20.5","0.459","2.9","7.5","0.385","6.5","13","0.503","0.53","4.6","5.2","0.872","0.8","6.5","7.3","4.4","1.2","0.5","2.7","1.9","26.3","21"
"Kemba Walker","PG","30","BOS","42","42","31.7","6.4","15.5","0.416","2.9","8.1","0.36","3.5","7.3","0.479","0.511","3.1","3.4","0.909","0.4","3.5","3.9","5","1.1","0.3","2.1","1.4","18.9","21"
"Hassan Whiteside","C","31","SAC","36","4","15.2","3.5","6.2","0.563","0","0","0","3.5","6.2","0.565","0.563","1.1","2.2","0.519","1.7","4.3","6","0.6","0.3","1.3","1.1","2","8.1","21"
"Andrew Wiggins","PF","25","GSW","68","68","33.1","7","14.7","0.473","2","5.2","0.38","5","9.5","0.525","0.541","2.4","3.4","0.716","1.1","3.7","4.8","2.4","1","1","1.8","2.2","18.3","21"
"Lou Williams","PG","34","ATL","62","4","22","4.1","10","0.413","1.1","2.7","0.396","3.1","7.3","0.419","0.466","2.3","2.7","0.863","0.3","1.7","2.1","3.5","0.8","0.1","1.6","0.9","11.7","21"
"Trae Young","PG","22","ATL","59","59","34.1","7.7","17.7","0.436","2.2","6.3","0.353","5.5","11.3","0.482","0.499","7.7","8.8","0.882","0.6","3.2","3.9","9.5","0.9","0.2","4.2","1.8","25.4","21"
"Bradley Beal","SG","26","WAS","57","57","36","10.4","22.9","0.455","3","8.4","0.353","7.4","14.4","0.515","0.52","6.8","8","0.842","0.9","3.3","4.2","6.1","1.2","0.4","3.4","2.2","30.5","20"
"Devin Booker","SG","23","PHO","70","70","35.9","9","18.3","0.489","2","5.7","0.354","6.9","12.6","0.549","0.544","6.7","7.3","0.919","0.4","3.8","4.2","6.5","0.7","0.3","3.8","3","26.6","20"
"Anthony Davis","PF","26","LAL","62","62","34.4","8.9","17.7","0.503","1.2","3.5","0.33","7.7","14.2","0.546","0.536","7.2","8.5","0.846","2.3","7","9.3","3.2","1.5","2.3","2.5","2.5","26.1","20"
"DeMar DeRozan","SF","30","SAS","68","68","34.1","8.2","15.4","0.531","0.1","0.5","0.257","8.1","14.9","0.54","0.535","5.6","6.6","0.845","0.6","4.9","5.5","5.6","1","0.3","2.4","2.6","22.1","20"
"Luka Doncic","PG","20","DAL","61","61","33.6","9.5","20.6","0.463","2.8","8.9","0.316","6.7","11.7","0.574","0.531","7","9.2","0.758","1.3","8.1","9.4","8.8","1","0.2","4.3","2.5","28.8","20"
"Goran Dragic","PG","33","MIA","59","3","28.2","5.4","12.3","0.441","2.1","5.7","0.367","3.3","6.5","0.505","0.526","3.2","4.2","0.776","0.5","2.7","3.2","5.1","0.7","0.2","2.4","2.1","16.2","20"
"Paul George","SF","29","LAC","48","48","29.6","7.1","16.3","0.439","3.3","7.9","0.412","3.9","8.4","0.464","0.539","4","4.5","0.876","0.5","5.2","5.7","3.9","1.4","0.4","2.6","2.4","21.5","20"
"James Harden","SG","30","HOU","68","68","36.5","9.9","22.3","0.444","4.4","12.4","0.355","5.5","9.9","0.556","0.543","10.2","11.8","0.865","1","5.5","6.6","7.5","1.8","0.9","4.5","3.3","34.3","20"
"Montrezl Harrell","C","26","LAC","63","2","27.8","7.5","12.9","0.58","0","0.3","0","7.5","12.6","0.593","0.58","3.7","5.6","0.658","2.6","4.5","7.1","1.7","0.6","1.1","1.7","2.3","18.6","20"
"Buddy Hield","SG","27","SAC","72","44","30.8","6.9","16.1","0.429","3.8","9.6","0.394","3.2","6.6","0.479","0.545","1.6","1.9","0.846","0.8","3.8","4.6","3","0.9","0.2","2.3","2.3","19.2","20"
"Jrue Holiday","SG","29","NOP","61","61","34.7","7.5","16.5","0.455","2","5.7","0.353","5.5","10.8","0.509","0.516","2.1","3","0.709","1.3","3.5","4.8","6.7","1.6","0.8","3","2.4","19.1","20"
"LeBron James","PG","35","LAL","67","67","34.6","9.6","19.4","0.493","2.2","6.3","0.348","7.4","13.1","0.564","0.55","3.9","5.7","0.693","1","6.9","7.8","10.2","1.2","0.5","3.9","1.8","25.3","20"
"Kelly Oubre Jr.","SF","24","PHO","56","55","34.5","6.7","14.8","0.452","1.9","5.5","0.352","4.7","9.3","0.511","0.517","3.4","4.4","0.78","1.2","5.3","6.4","1.5","1.3","0.7","1.5","3.4","18.7","20"
"Julius Randle","PF","25","NYK","64","64","32.5","7.2","15.7","0.46","1","3.6","0.277","6.2","12.1","0.515","0.492","4","5.5","0.733","2.4","7.4","9.7","3.1","0.8","0.3","3","2.8","19.5","20"
"Duncan Robinson","SF","25","MIA","73","68","29.7","4.4","9.4","0.47","3.7","8.3","0.446","0.7","1.1","0.654","0.667","0.9","1","0.931","0.1","3","3.2","1.4","0.5","0.3","1","2.6","13.5","20"
"Derrick Rose","PG","31","DET","50","15","26","7.4","15.1","0.49","0.9","2.9","0.306","6.5","12.1","0.535","0.52","2.4","2.8","0.871","0.5","1.9","2.4","5.6","0.8","0.3","2.5","1","18.1","20"
"D'Angelo Russell","PG","23","MIN","45","45","32.3","8","18.8","0.426","3.5","9.6","0.367","4.5","9.2","0.487","0.519","3.6","4.4","0.809","0.4","3.6","3.9","6.3","1.1","0.3","3.3","1.9","23.1","20"
"Dennis Schroder","PG","26","OKC","65","2","30.8","7","14.8","0.469","1.9","5","0.385","5","9.8","0.513","0.534","3","3.6","0.839","0.3","3.3","3.6","4","0.7","0.2","2.6","2.2","18.9","20"
"Pascal Siakam","PF","25","TOR","60","60","35.2","8.3","18.4","0.453","2.2","6.1","0.359","6.2","12.3","0.499","0.512","4","5.1","0.792","1.1","6.3","7.3","3.5","1","0.9","2.5","2.8","22.9","20"
"Jayson Tatum","PF","21","BOS","66","66","34.3","8.4","18.6","0.45","2.9","7.1","0.403","5.5","11.5","0.48","0.527","3.8","4.7","0.812","1","6","7","3","1.4","0.9","2.3","2.1","23.4","20"
"Kemba Walker","PG","29","BOS","56","56","31.1","6.8","15.9","0.425","3.2","8.4","0.381","3.5","7.4","0.476","0.526","3.7","4.3","0.864","0.6","3.2","3.9","4.8","0.9","0.5","2.1","1.6","20.4","20"
"Hassan Whiteside","C","30","POR","67","61","30","6.5","10.5","0.621","0.1","0.1","0.571","6.4","10.4","0.622","0.624","2.4","3.6","0.686","3.9","9.7","13.5","1.2","0.4","2.9","1.8","2.9","15.5","20"
"Andrew Wiggins","SF-SG","24","GSW","54","54","34.4","8.1","18.1","0.447","2.1","6.2","0.332","6","11.9","0.506","0.504","3.5","5","0.709","1.2","3.9","5.1","3.7","0.8","1","2.4","2.4","21.8","20"
"Lou Williams","SG","33","LAC","65","8","28.7","6","14.4","0.418","1.7","4.8","0.352","4.3","9.6","0.451","0.477","4.5","5.2","0.861","0.5","2.6","3.1","5.6","0.7","0.2","2.8","1.2","18.2","20"
"Trae Young","PG","21","ATL","60","60","35.3","9.1","20.8","0.437","3.4","9.5","0.361","5.7","11.4","0.501","0.519","8","9.3","0.86","0.5","3.7","4.3","9.3","1.1","0.1","4.8","1.7","29.6","20"
